Artist,Track,Year,PreviousHit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Label
shawn colvin,these four walls,2006,1,0.47,0.506,9,-7.976,1,0.0308,0.49,3.51e-05,0.378,0.376,165.339,0
billy dean,let them be little,2005,0,0.54,0.516,1,-5.221,1,0.0246,0.266,0,0.204,0.285,135.9,1
eminem,the way i am,2000,0,0.81,0.871,4,-2.672,0,0.241,0.13,0,0.313,0.299,87.328,0
my chemical romance,na na na (na na na na na na na na na),2010,1,0.411,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,1
luiz bonfa,samba de duas notas,2008,0,0.629,0.227,2,-19.621,1,0.0574,0.83,0.0097,0.122,0.736,157.309,0
incubus,dig,2006,0,0.45,0.895,11,-4.739,1,0.0386,0.0293,0,0.116,0.463,77.577,1
gertrudis,intro,2009,0,0.562,0.45,9,-12.258,0,0.0279,0.529,0.000911,0.643,0.547,97.797,0
miranda lambert,the house that built me,2009,1,0.515,0.3,5,-8.005,1,0.0289,0.575,8.46e-06,0.115,0.206,81.12,1
kt tunstall,under the weather,2005,0,0.418,0.449,0,-9.547,1,0.0366,0.874,7.83e-05,0.113,0.29,142.379,0
ludacris,southern hospitality,2000,0,0.628,0.9,0,-4.877,1,0.258,0.043,0,0.0884,0.625,94.992,1
redman,muh- f***a,2001,0,0.755,0.97,7,-6.093,1,0.334,0.249,0.00233,0.19,0.469,93.193,0
craig morgan,i got you,2005,0,0.588,0.702,3,-5.295,1,0.0269,0.316,0,0.189,0.597,106.052,1
vanessa hudgens,sneakernight,2008,1,0.807,0.904,1,-4.127,0,0.065,0.37,0,0.161,0.809,104.007,1
burning spear,tumble down,2009,0,0.782,0.713,8,-9.018,1,0.0599,0.0799,0.142,0.969,0.775,80.703,0
life long tragedy,collecting dust,2008,0,0.22,0.746,7,-6.244,1,0.0501,9.74e-05,0.0328,0.26,0.241,121.528,0
stephen marley / damian marley,the traffic jam,2007,0,0.824,0.641,9,-7.099,1,0.402,0.433,0,0.0755,0.73,94.943,0
eminem,beautiful,2009,1,0.724,0.685,5,-4.413,0,0.0768,0.266,0,0.0771,0.524,132.09,0
incubus,warning,2001,0,0.504,0.522,4,-8.297,1,0.0259,0.00143,0.000236,0.0958,0.222,81.047,0
city high,sista,2001,0,0.648,0.653,8,-8.364,0,0.0814,0.0616,0,0.0821,0.637,80.008,0
jimmy wakely,beautiful brown eyes,2000,0,0.545,0.18,2,-14.488,1,0.0313,0.923,0,0.145,0.433,109.265,0
the mars volta,eriatarka,2003,0,0.184,0.956,6,-2.552,0,0.222,0.0262,0.00223,0.54,0.277,158.562,0
andy & lucas,hasta los huesos,2004,0,0.713,0.76,9,-6.704,1,0.0579,0.696,0,0.364,0.819,140.121,0
jeff wahl,india,2003,0,0.48,0.136,2,-24.682,1,0.0481,0.954,0.908,0.119,0.119,118.6,0
glee cast,like a virgin,2010,1,0.678,0.845,4,-3.05,0,0.0475,0.0651,0,0.0841,0.763,119.999,1
james newton howard,voices,2008,0,0.22,0.128,1,-28.897,0,0.04,0.435,0.753,0.847,0.0379,87.362,0
uncle kracker,smile,2009,1,0.541,0.812,4,-3.764,1,0.0336,0.203,0,0.42,0.607,141.056,1
goo goo dolls,real,2010,1,0.363,0.618,0,-5.147,1,0.0296,0.00038,2.41e-05,0.0908,0.412,82.939,1
bon jovi,the radio saved my life tonight,2004,1,0.453,0.92,4,-5.256,1,0.0749,0.00129,0.0138,0.164,0.459,146.502,0
boyz ii men,motownphilly,2003,1,0.756,0.858,2,-9.649,1,0.0682,0.0171,2.17e-05,0.194,0.758,114.144,1
sapo,el mes alt,2003,0,0.624,0.819,7,-4.623,1,0.0678,0.147,0.0127,0.226,0.621,140.621,0
nightwish,kuolema tekee taiteilijan,2004,0,0.164,0.304,9,-12.242,0,0.0319,0.367,0.00109,0.168,0.105,90.166,0
novembre,triesteitaliana,2007,0,0.169,0.712,1,-6.542,0,0.0727,4.47e-05,0.397,0.0801,0.17,125.91,0
eminem,when im gone,2005,1,0.535,0.73,1,-5.574,1,0.355,0.0529,0,0.253,0.723,74.89,1
casiotone for the painfully alone,white jetta,2009,0,0.658,0.868,4,-9.848,0,0.0892,0.0468,0.075,0.0749,0.0389,90.057,0
nas,i can,2002,1,0.837,0.885,6,-3.914,0,0.182,0.103,0,0.0666,0.694,95.313,1
ashanti,foolish,2002,0,0.477,0.728,0,-5.71,1,0.0831,0.358,0,0.11,0.69,89.209,1
jennifer lopez,por arriesgarnos,2007,1,0.377,0.481,4,-9.676,1,0.0507,0.663,0,0.0965,0.197,150.514,0
the dillinger escape plan,setting fire to sleeping giants,2004,0,0.413,0.992,9,-3.923,0,0.375,0.0093,0.000562,0.232,0.29,166.906,0
stille volk,orgasme tellurique,2003,0,0.549,0.73,5,-12.629,1,0.0319,0.348,2.75e-05,0.15,0.817,149.971,0
abysmal dawn,compulsory resurrection,2008,0,0.508,0.984,7,-5.762,1,0.151,1.55e-05,0.527,0.0788,0.249,125.159,0
legacy five,out of my darkness,2004,0,0.705,0.528,1,-8.143,1,0.0472,0.558,0,0.104,0.644,180.061,0
c.c. adcock,loaded gun,2004,0,0.723,0.791,9,-7.567,0,0.0415,0.0126,0.0215,0.0943,0.89,116.011,0
kane,all i can do,2005,0,0.264,0.312,8,-8.987,1,0.0411,0.116,0.000505,0.138,0.218,184.793,0
eastmountainsouth,hard times,2003,0,0.604,0.434,6,-8.873,1,0.0283,0.719,1.56e-05,0.0896,0.354,126.052,0
ferras,hollywoods not america,2008,0,0.478,0.617,5,-6.162,1,0.0343,0.244,0,0.131,0.598,156.058,1
rubyhorse,the  first of the year,2002,0,0.397,0.376,0,-11.447,1,0.0355,0.744,0.0365,0.337,0.154,125.135,0
coldplay,speed of sound (live),2005,1,0.534,0.843,11,-5.048,0,0.0414,0.000247,0.000241,0.923,0.281,122.993,0
goldfish,tracy,2008,0,0.54,0.475,11,-6.949,0,0.0427,0.148,0.0272,0.145,0.0856,104.165,0
martina mcbride,thanks a lot,2005,1,0.683,0.538,7,-6.956,1,0.0297,0.104,0.0019,0.0595,0.825,167.917,0
ice cube,why we thugs,2006,1,0.683,0.59,1,-5.423,1,0.458,0.326,0,0.148,0.653,100.892,1
faith hill,where are you christmas?,2000,1,0.389,0.343,10,-9.571,1,0.0299,0.614,0,0.127,0.112,110.314,1
charlotte gainsbourg,tel que tu es,2006,0,0.542,0.351,3,-11.363,0,0.0309,0.814,0.259,0.159,0.412,119.24,0
toby keith,stays in mexico,2008,1,0.655,0.882,9,-3.301,1,0.0724,0.148,0,0.303,0.718,122.945,1
sizzla,princess black,2006,0,0.566,0.793,6,-6.42,1,0.312,0.0391,0,0.143,0.842,82.52,0
bikini machine,the race,2010,0,0.121,0.781,9,-4.349,0,0.0427,5.34e-05,0.843,0.137,0.0741,163.59,0
harry gregson-williams,the ball,2004,0,0.313,0.401,8,-8.821,1,0.0349,0.021,0.0503,0.383,0.628,151.156,0
franz ferdinand,no you girls,2009,1,0.679,0.909,2,-4.129,0,0.0297,0.00915,3.27e-05,0.139,0.899,104.781,0
bone thugs-n-harmony,murder one,2000,1,0.734,0.672,9,-4.732,1,0.0908,0.32,0,0.302,0.447,75.986,0
death cab for cutie,soul meets body,2005,0,0.621,0.853,2,-5.735,0,0.0253,0.0767,3.26e-06,0.0893,0.714,128.142,1
deborah allen,i will always love you,2008,0,0.382,0.14,6,-9.727,1,0.0293,0.771,2.49e-06,0.13,0.186,132.916,0
thrice,the earth will shake,2005,0,0.447,0.898,9,-4.575,0,0.0726,0.0125,0.104,0.155,0.136,125.099,0
cocoa tea,hurry up and come,2009,0,0.793,0.688,1,-5.598,0,0.0911,0.146,0,0.247,0.804,159.952,0
corbin bleu,push it to the limit,2007,0,0.814,0.9,5,-3.318,0,0.0605,0.0112,2.01e-06,0.0631,0.761,125.988,1
samy deluxe,die meisten,2001,0,0.694,0.853,1,-7.731,1,0.274,0.0136,0,0.0312,0.932,171.706,0
nick jonas & the administration,who i am,2010,0,0.636,0.763,4,-5.588,1,0.035,0.0773,2.81e-05,0.174,0.756,107.256,1
james newton howard,u north,2007,0,0.158,0.135,11,-32.174,0,0.0746,0.752,0.929,0.101,0.0216,180.067,0
bottom of the hudson,one of us,2005,0,0.643,0.797,10,-7.599,0,0.033,0.283,0.00871,0.106,0.871,105.576,0
gorillaz,feel good inc,2005,0,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,1
sirka ragnar,port now!,2006,0,0.41,0.887,5,-5.216,1,0.0743,0.129,0.000127,0.51,0.439,160.037,0
boyz n da hood,dem boyz,2005,0,0.782,0.63,1,-5.683,1,0.162,0.00161,0,0.151,0.295,78.516,1
marcus miller,3 deuces,2001,0,0.84,0.368,0,-8.775,1,0.0507,0.0369,0.784,0.0749,0.725,92.018,0
scott glasgow,space station liberty,2007,0,0.155,0.529,6,-13.549,1,0.0794,0.579,0.929,0.146,0.0594,78.799,0
foo fighters,still,2005,1,0.713,0.296,5,-12.928,1,0.0303,0.585,0.784,0.0911,0.183,110.696,0
backstreet boys,shape of my heart,2000,1,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,1
fever ray,when i grow up,2009,0,0.472,0.631,0,-9.66,1,0.0526,0.362,0.533,0.153,0.548,122.538,0
steve riley & the mamou playboys,between eunice & opelousas,2008,0,0.729,0.995,0,-4.632,1,0.0404,0.373,0.813,0.198,0.983,112.733,0
the distillers,ask the angels,2000,0,0.306,0.928,8,-3.134,1,0.0546,0.119,2.2e-05,0.37,0.468,141.283,0
trey songz,cant be friends,2010,1,0.451,0.588,11,-7.973,0,0.2,0.0643,0,0.171,0.332,171.849,1
sade,all about our love,2000,1,0.799,0.521,4,-8.421,1,0.0355,0.182,0.00975,0.0913,0.646,81.043,0
glee cast,lady is a tramp,2010,1,0.326,0.687,10,-3.785,0,0.0531,0.159,0,0.341,0.554,200.035,1
pat metheny,traveling fast,2009,0,0.316,0.57,7,-13.286,1,0.112,0.427,0.888,0.723,0.626,81.01,0
the chap,volumatic spacer device,2003,0,0.904,0.368,9,-10.659,1,0.138,0.723,0.314,0.087,0.49,123.01,0
eric burdon,motorcycle girl,2004,0,0.747,0.675,2,-6.577,0,0.0386,0.45,8.49e-06,0.0715,0.684,146.068,0
britney spears,shattered glass,2009,1,0.831,0.489,0,-6.475,0,0.0533,0.0483,1.33e-05,0.074,0.376,120.054,1
u2,new york,2000,1,0.66,0.591,7,-8.356,1,0.0324,0.0487,0.0334,0.137,0.587,125.303,0
john digweed,warung beach,2006,0,0.805,0.679,9,-11.602,1,0.0543,0.0553,0.874,0.282,0.629,124.993,0
terror squad / remy / prospect / armageddon,hum drum,2004,0,0.703,0.818,1,-5.12,1,0.314,0.115,0,0.14,0.45,89.609,0
brad paisley,shes everything,2005,1,0.355,0.478,0,-8.323,1,0.0335,0.569,2.9e-06,0.194,0.269,102.971,1
paul avgerinos,gnosis,2006,0,0.147,0.216,9,-21.884,1,0.0366,0.852,0.977,0.117,0.0935,138.744,0
tyr,grial ii,2001,0,0.253,0.945,0,-6.396,0,0.188,0.000371,0.000173,0.159,0.132,147.613,0
milieu,blackwood moth,2007,0,0.708,0.286,10,-13.724,1,0.143,0.0112,0.87,0.138,0.736,174.06,0
the pineapple thief,boxing day,2006,0,0.455,0.409,7,-11.377,1,0.0277,0.446,6.88e-05,0.0966,0.118,160.223,0
coldplay,speed of sound,2005,1,0.523,0.898,11,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,1
babylon disco,multiplayer,2007,0,0.627,0.544,11,-17.444,0,0.0525,0.0605,0.189,0.113,0.756,89.976,0
robben ford,something for the pain,2002,0,0.73,0.676,9,-5.876,0,0.0315,0.0352,0.0313,0.262,0.513,111.846,0
darren hayes,insatiable,2002,0,0.67,0.847,0,-5.449,0,0.0545,0.0974,0,0.0842,0.852,143.872,1
tre,take your time,2002,0,0.511,0.811,7,-5.835,1,0.0567,0.00876,0,0.0868,0.583,89.678,1
david cook,come back to me,2008,0,0.476,0.895,4,-4.857,1,0.0299,0.0101,1.02e-06,0.127,0.632,108.087,1
kid cudi,marijuana,2010,1,0.672,0.403,8,-9.809,0,0.0273,0.829,0.823,0.272,0.54,140.978,1
arrested development,ease my mind,2002,1,0.896,0.659,4,-7.483,0,0.224,0.00655,5.65e-06,0.0494,0.522,96.897,1
les ogres de barback,flamme & co,2004,0,0.564,0.381,2,-9.999,0,0.0358,0.862,0.000503,0.0968,0.333,132.088,0
twin atlantic,what is light? where is laughter? (acoustic version),2009,0,0.566,0.307,9,-5.421,1,0.0463,0.323,0,0.133,0.478,141.802,0
chris brown,wall to wall,2007,1,0.595,0.548,7,-6.761,0,0.115,0.00344,0,0.134,0.563,188.082,1
keith urban,better life,2007,1,0.62,0.822,2,-3.546,1,0.0379,0.0374,1.6e-05,0.0298,0.786,104.95,1
t.i.,no matter what,2008,1,0.498,0.824,11,-5.091,1,0.247,0.00332,0,0.0757,0.332,145.639,1
the wiseguys,start the commotion,2006,0,0.688,0.979,1,-4.196,0,0.0491,0.00039,0.717,0.319,0.958,119.901,1
sick puppies,deliverance,2007,0,0.154,0.954,10,-4.501,0,0.106,1.16e-05,0,0.292,0.299,181.221,0
lightnin slim,my babe,2010,0,0.713,0.507,11,-14.529,1,0.12,0.321,0.000342,0.118,0.866,142.4,0
kings of leon,ragoo,2007,0,0.741,0.764,2,-5.94,1,0.0301,0.0377,2.59e-06,0.0927,0.771,102.008,0
bottom of the hudson,eagle eye,2003,0,0.559,0.646,4,-5.881,0,0.0378,0.00601,0.127,0.27,0.0656,149.319,0
jan wayne,groovin,2003,0,0.78,0.941,2,-5.459,0,0.0944,0.0611,0.00511,0.0823,0.464,140.014,0
clay davidson,unconditional,2000,0,0.562,0.451,7,-7.799,1,0.0266,0.419,0,0.104,0.277,132.949,1
blue october,my never,2009,1,0.446,0.296,4,-10.999,1,0.0417,0.604,4.07e-05,0.114,0.0558,105.874,0
ricardo lemvo,yiri yiri bon,2007,0,0.574,0.688,5,-8.41,0,0.0378,0.13,0,0.0699,0.793,87.823,0
